Symbol,Security,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,Founded
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/16,
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",,1879
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",4/28/11,
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/10,
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/15,
CI,CIGNA Corp.,Health Care,Managed Health Care,"Bloomfield, Connecticut",6/30/76,
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",6/21/14,
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/97,
CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",3/1/01,
CSCO,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",12/1/93,
C,Citigroup Inc.,Financials,Diversified Banks,"New York, New York",5/31/88,
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",1/29/16,
CTXS,Citrix Systems,Information Technology,Application Software,"Fort Lauderdale, Florida",12/1/99,
CLX,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",3/31/69,1913
CME,CME Group Inc.,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/06,
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",5/3/99,
KO,Coca-Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",,1886
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/06,
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",,1806
CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",9/18/15,
CMA,Comerica Inc.,Financials,Diversified Banks,"Dallas, Texas",12/1/95,
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/83,
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2/22/16,
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,2002
ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",,1823
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",7/1/05,
COO,The Cooper Companies,Health Care,Health Care Supplies,"Pleasanton, California",9/23/16,
CPRT,Copart Inc,Industrials,Diversified Support Services,"Dallas, Texas",7/2/18,
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",,1851
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",6/3/19,2019
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/93,
COTY,"Coty, Inc",Consumer Staples,Personal Products,"New York, New York",10/3/16,
CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,"Houston, Texas",3/14/12,
CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",9/30/67,1980
CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",3/31/65,1919
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",,1996
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,1978
DHR,Danaher Corp.,Health Care,Health Care Equipment,"Washington, D.C.",,1969
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",,1938
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",7/31/08,
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",,1837
DAL,Delta Air Lines Inc.,Industrials,Airlines,"Atlanta, Georgia",9/11/13,
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"York, Pennsylvania",11/14/08,
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/00,
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",12/3/18,2007
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,"San Francisco, California",5/18/16,
DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/07,
DISCA,Discovery Inc. Class A,Communication Services,Broadcasting,"Silver Spring, Maryland",3/1/10,
DISCK,Discovery Inc. Class C,Communication Services,Broadcasting,"Silver Spring, Maryland",8/7/14,
DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",3/13/17,
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/12,
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/19/11,
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",,1983
DOV,Dover Corp.,Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/85,
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",4/1/19,2019
DTE,DTE Energy Co.,Utilities,Multi-Utilities,"Detroit, Michigan",,1995
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/76,
DRE,Duke Realty Corp,Real Estate,Industrial REITs,"Indianapolis, Indiana",7/26/17,
DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,"Midland, Michigan",,2017
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",4/4/17,
ETFC,E*Trade,Financials,Investment Banking & Brokerage,"New York, New York",3/31/04,
EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/94,
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1911
EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",,1995
ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",1/31/89,
EIX,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California",,1886
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",4/1/11,
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",7/22/02,
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",3/31/65,1890
ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",,1913
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",11/2/00,
EFX,Equifax Inc.,Industrials,Research & Consulting Services,"Atlanta, Georgia",6/19/97,
EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",3/20/15,
EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",12/3/01,
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,"Palo Alto, California",4/2/14,
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,"New York, New York",1/5/06,
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",6/5/18,1909
ES,Eversource Energy,Utilities,Multi-Utilities,"Springfield, Massachusetts",,1966
RE,Everest Re Group Ltd.,Financials,Reinsurance,"Hamilton, Bermuda",6/19/17,
EXC,Exelon Corp.,Utilities,Multi-Utilities,"Chicago, Illinois",,2000
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",10/2/07,
EXPD,Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/07,
EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",1/19/16,
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",,1999
FFIV,F5 Networks,Information Technology,Communications Equipment,"Seattle, Washington",12/20/10,1996
FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,"Menlo Park, California",12/23/13,
FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",9/15/09,
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",2/1/16,
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/80,
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",11/10/06,
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",,1858
FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio",,1997
FRC,First Republic Bank,Financials,Regional Banks,"San Francisco, California",1/2/19,1985
FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",4/2/01,
FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",6/20/18,2000
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",1/2/09,
FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas",10/2/08,
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",8/19/09,
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",,1903
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",10/11/18,2000
FTV,Fortive Corp,Industrials,Industrial Machinery,"Everett, Washington",7/1/16,
FBHS,Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois",6/22/16,
FOXA,Fox Corporation Class A,Communication Services,Movies & Entertainment,"New York, New York",7/1/13,
FOX,Fox Corporation Class B,Communication Services,Movies & Entertainment,"New York, New York",9/18/15,
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",,1947
FCX,Freeport-McMoRan Inc.,Materials,Copper,"Phoenix, Arizona",,1912
GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,"San Francisco, California",8/31/86,
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/12,
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",4/5/17,
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",,1899
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,1892
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/31/69,1856
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/13,
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",12/31/73,1925
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",7/1/04,
GL,Globe Life Inc.,Financials,Life & Health Insurance,"McKinney, Texas",4/30/89,
GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",4/25/16,
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York",7/22/02,
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,"Lake Forest, Illinois",6/30/81,
HRB,H&R Block,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",11/30/86,
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,1919
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",3/20/15,
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",,1903
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut",,
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",9/30/84,
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",1/27/15,
PEAK,Healthpeak Properties,Real Estate,Health Care REITs,"Long Beach, California",3/31/08,
HP,Helmerich & Payne,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",3/1/10,
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",3/17/15,
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",,1894
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",5/31/84,
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",11/2/15,
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",6/19/17,
HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",6/18/18,
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",3/30/16,
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",3/31/88,
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey",3/31/64,1906
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",3/4/09,
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",3/20/07,
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",12/31/74,1939 (2015)
HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky",,1961
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio",,1866
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",1/3/18,
IEX,IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois",8/9/19,1988
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",1/5/17,
INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,"London, United Kingdom",6/2/17,
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",2/28/86,
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,"San Diego, California",11/19/15,
IR,Ingersoll-Rand PLC,Industrials,Industrial Machinery,"Dublin, Ireland",11/17/10,
INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",12/31/76,
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",9/26/07,
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,"Armonk, New York",,1911
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",2/28/17,
IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",,1898
IPG,Interpublic Group,Communication Services,Advertising,"New York, New York",10/1/92,
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,"New York, New York",3/31/76,
INTU,Intuit Inc.,Information Technology,Application Software,"Mountain View, California",12/5/00,
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,"Sunnyvale, California",6/2/08,
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",8/21/08,
IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",3/7/18,
IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",8/29/17,
IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,"Boston, Massachusetts",1/6/09,
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",11/13/18,
J,Jacobs Engineering Group,Industrials,Construction & Engineering,"Pasadena, California",10/26/07,
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,"Lowell, Arkansas",7/1/15,
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",11/6/08,
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",6/30/73,1886
JCI,Johnson Controls International,Industrials,Building Products,"Cork, Ireland",8/27/10,
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,"New York, New York",6/30/75,
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",,1996
KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri",5/24/13,
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,1906
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",3/1/94,
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",11/6/18,2014
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",,1872
KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",4/4/06,
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",5/25/12,
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,"Milpitas, California",,1975/1977 (1997)
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,1962
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",7/6/15,
KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio",,1883
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",9/30/83,
LHX,L3Harris Technologies,Industrials,Aerospace & Defense,"Melbourne, Florida",,
LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,"Burlington, North Carolina",11/1/04,
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",6/29/12,
LW,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",12/3/18,
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",10/3/19,
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,1883
LDOS,Leidos Holdings,Information Technology,IT Consulting & Other Services,"Reston, Virginia",8/9/19,1969
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida",10/4/05,
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/70,1876
LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",6/30/76,
LIN,Linde plc,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",7/1/92,
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",5/23/16,
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",7/31/84,
L,Loews Corp.,Financials,Multi-line Insurance,"New York, New York",,
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/84,1904/1946/1959
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",9/5/12,
MTB,M&T Bank Corp.,Financials,Regional Banks,"Buffalo, New York",,1856
MAC,Macerich,Real Estate,Retail REITs,"Santa Monica, California",5/9/13,
M,Macy's Inc.,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",,1929
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas",5/1/91,
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",7/1/11,
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York, New York",7/1/19,2000
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1927
MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York",8/31/87,
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",7/2/14,
MAS,Masco Corp.,Industrials,Building Products,"Taylor, Michigan",6/30/81,
MA,Mastercard Inc.,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",7/18/08,
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",,1889
MXIM,Maxim Integrated Products Inc,Information Technology,Semiconductors,"San Jose, California",12/3/18,1983
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Chicago, Illinois",6/30/70,1940
MCK,McKesson Corp.,Health Care,Health Care Distributors,"Irving, Texas",,1833
MDT,Medtronic plc,Health Care,Health Care Equipment,"Dublin, Ireland",10/31/86,
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",,1891
MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",,1868
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",9/6/16,
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",7/26/17,
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",9/7/07,
